Name,Formal Name,Categories,Features,Layouts,Max Capacity
160-321,"160-321, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Blue-Ray,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSmartpanel, Docking Station,Video Capture Capable,ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],27
160-322,"160-322, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Blue-Ray,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSmartpanel, Docking Station,Whiteboard, Fixed,ÊWindow",Seminar [SEM],27
160-323,"160-323, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Blue-Ray,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSmartpanel, Docking Station,Whiteboard, Fixed,ÊWindow",Seminar [SEM],27
160-325,"160-325, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Player, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Seminar [SEM],28
160-326,"160-326, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Player, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],28
160-328,"160-328, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Flex Room,ÊFlexible Seating,ÊSUNET Capability,ÊSmartpanel, Docking Station,ÊWhiteboard, Fixed",Seminar [SEM],24
160-329,"160-329, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Blue-Ray,ÊFlex Room,ÊFlexible Seating,ÊSUNET Capability,ÊSmartpanel, Docking Station,ÊVideo Capture Capable,ÊWhiteboard, Fixed",Seminar [SEM],21
160-330,"160-330, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Blue-Ray,ÊFlex Room,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSmartpanel, Docking Station,Whiteboard, Fixed",Flex [FLEX],22
160-331,"160-331, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Blue-Ray,ÊFlex Room,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSmartpanel, Docking Station,Whiteboard, Fixed",Flex [FLEX],21
160-332,"160-332, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Blue-Ray,ÊFlex Room,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSmartpanel, Docking Station,Whiteboard, Fixed",Flex [FLEX],24
160-B35,"160-B35, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Plasma screen,ÊPlayer, Audio CD,ÊPlayer, DVD Multi-Region,ÊSeminar Room,ÊSmartpanel, Docking Station,VCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Seminar [SEM],8
160-B36,"160-B36, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Plasma screen,ÊPlayer, Audio CD,ÊPlayer, DVD Multi-Region,ÊSeminar Room,ÊSmartpanel, Docking Station,VCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Seminar [SEM],8
160-B37,"160-B37, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Plasma screen,ÊPlayer, Audio CD,ÊPlayer, DVD Multi-Region,ÊSeminar Room,ÊSmartpanel, Docking Station,VCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Seminar [SEM],8
160-B38,"160-B38, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,Stanford Conference Scheduled","Plasma screen,ÊPlayer, Audio CD,ÊPlayer, DVD Multi-Region,ÊSeminar Room,ÊSmartpanel, Docking Station,VCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Seminar [SEM],8
160-B39,"160-B39, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Plasma screen,ÊPlayer, Audio CD,ÊPlayer, DVD Multi-Region,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Seminar [SEM],8
160-B40,"160-B40, Wallenberg Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Boards, Multiple,ÊPlasma screen,ÊPlayer, Audio CD,ÊPlayer, DVD Multi-Region,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Seminar [SEM],8
20-21B,"20-21B, Bldg.20, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Access, Outside,ÊBlinds, Blackout,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],16
20-21G,"20-21G, Bldg.20, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Blackboard, Fixed,ÊBlinds, Blackout,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊWindow",Seminar [SEM],22
20-22K,"20-22K, Bldg.20, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Blackboard, Fixed,ÊPlasma screen,ÊPlayer, DVD Multi-Region,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],14
200-002,"200-002, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊLecture Room,ÊMicrophone, Wired,ÊPlayer, DVD Multi-Region,ÊProjection, Data/Video,ÊProjection, Dual 35MM Slide,ÊSUNET Capability,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable)",Lecture [LEC],160
200-013,"200-013, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable)",Seminar [SEM],28
200-015,"200-015, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlinds, Blackout,ÊBlue-Ray,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊWhiteboard, Fixed",Seminar [SEM],22
200-030,"200-030, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊLecture Room,ÊPlayer, DVD Multi-Region,ÊProjection, Dual 35MM Slide,ÊSUNET Capability,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Lecture [LEC],63
200-032,"200-032, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊWindow",Seminar [SEM],14
200-034,"200-034, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Outside,ÊAccess, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊLecture Room,ÊPlayer, DVD Multi-Region,Projection, 35MM Slide,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Lecture [LEC],83
200-105,"200-105, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,Seminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],24
200-107,"200-107, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊPlayer, DVD Multi-Region,ÊSeminar Room,Seminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),Window",Seminar [SEM],32
200-124,"200-124, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊWindow",Seminar [SEM],14
200-201,"200-201, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlue-Ray,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],20
200-202,"200-202, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeat, Fix Tablet Arm, Tiered,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],27
200-203,"200-203, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊLecture Room,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Lecture [LEC],72
200-205,"200-205, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊLecture Room,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Lecture [LEC],81
200-217,"200-217, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊProjection, Data/Video,ÊSeat, Movable,ÊSeminar Room,Smartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],28
200-219,"200-219, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊBoards, Multiple,ÊSUNET Capability,ÊSeat, Movable,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],26
200-230,"200-230, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,Window",Seminar [SEM],14
200-303,"200-303, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊLecture Room,ÊSUNET Capability,ÊSeat, Fix Tablet Arm, Tiered,Smartpanel, Docking Station,ÊVCR, VHS (SVHS Capable)",Lecture [LEC],56
200-305,"200-305, Lane History Corner, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊLecture Room,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable)",Lecture [LEC],65
240-101,"240-101, Bldg.240, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,Seminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],21
240-110,"240-110, Bldg.240, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,Seminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],20
240-201,"240-201, Bldg.240, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Seminar [SEM],12
240-202,"240-202, Bldg.240, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Blackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],14
250-108,"250-108, Bldg.250, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Access, Wheelchair,ÊBlinds, Blackout,ÊFlex Room,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSmartpanel, Docking Station,ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed,ÊWindow",Flex [FLEX],20
250-201,"250-201, Bldg.250, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Flex Room,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed,ÊWindow",Flex [FLEX],26
260-001,"260-001, Pigott Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊPlayer, Audio CD,ÊPlayer, Audio Cassette,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Seminar [SEM],21
260-002,"260-002, Pigott Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊPlayer, Audio CD,ÊPlayer, Audio Cassette,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Seminar [SEM],21
260-003,"260-003, Pigott Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊPlayer, Audio CD,ÊPlayer, Audio Cassette,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Seminar [SEM],21
260-004,"260-004, Pigott Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊPlayer, Audio CD,ÊPlayer, Audio Cassette,ÊPlayer, DVD Multi-Region,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Seminar [SEM],20
260-007,"260-007, Pigott Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Blackboard, Fixed,ÊPlayer, Audio CD,ÊPlayer, Audio Cassette,ÊPlayer, DVD Multi-Region,ÊProjection, Data/Video,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],21
260-008,"260-008, Pigott Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊPlayer, Audio CD,ÊPlayer, Audio Cassette,ÊPlayer, DVD Multi-Region,ÊPlayer, DVD/VHS,ÊProjection, Data/Video,ÊSUNET Capability,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Seminar [SEM],14
260-011,"260-011, Pigott Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊPlayer, Audio CD,ÊPlayer, DVD Multi-Region,ÊPlayer, DVD/VHS,Seminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],18
260-012,"260-012, Pigott Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Fixed,ÊBlinds, Blackout,ÊPlayer, Audio CD,ÊPlayer, DVD Multi-Region,ÊPlayer, DVD/VHS,Seminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],20
260-113,"260-113, Pigott Hall, Main Quad","Auditoria,ÊEMCS,ÊRegistrar Room,Registrar Scheduled,ÊStanford Conference Scheduled","Access, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBoards, Multiple,ÊLecture Room,ÊPlayer, Audio CD,ÊPlayer, DVD Multi-Region,ÊProjection, Data/Video,ÊSUNET Capability,ÊSeat, Fix Tablet Arm, Tiered,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWindow",Auditorium [A],100
260-241,"260-241, Pigott Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Blackboard, Fixed,ÊPlasma screen,ÊPlayer, DVD Multi-Region,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region)",Seminar [SEM],6
260-244,"260-244, Pigott Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Blackboard, Fixed,ÊPlasma screen,ÊPlayer, DVD Multi-Region,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed",Seminar [SEM],18
260-301,"260-301, Pigott Hall, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled","Blinds, Blackout,ÊPlasma screen,ÊPlayer, DVD Multi-Region,ÊSeminar Room,ÊSeminar, Conf or Flex Tables,ÊSmartpanel, Docking Station,ÊVCR, VHS (Multi Region),ÊVCR, VHS (SVHS Capable),ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],13
300-300,"300-300, Bldg.300, Main Quad","EMCS,ÊRegistrar Room,ÊRegistrar Scheduled,ÊStanford Conference Scheduled","Access, Outside,ÊAccess, Wheelchair,ÊBlackboard, Multiple Mov Panel,ÊBlinds, Blackout,ÊBoards, Multiple,ÊLecture Room,Player, Audio CD,ÊPlayer, DVD/VHS,ÊProjection, Data/Video,ÊSUNET Capability,ÊSeat, Fix Tablet Arm, Tiered,Smartpanel, Docking Station,ÊVCR, VHS (SVHS Capable)",Lecture [LEC],100
300-303,"300-303, Bldg.300, Main Quad","Registrar Room,ÊRegistrar Scheduled","Boards, Multiple,ÊPlasma screen,ÊProjection, Dual Screens,ÊSeminar Room,ÊSmartpanel, Docking Station,ÊWhiteboard, Fixed,ÊWindow",Seminar [SEM],28
